Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Y,source_file
2.72,0.75,0.79,2.48,3.26,1,GdCoOAc_(OH2.5-3.5).csv
1.48,0.91,0.57,3.83,3.22,0,GdCoOAc_(OH2.5-3.5).csv
2.93,0.62,0.63,2.5,3.32,1,GdCoOAc_(OH2.5-3.5).csv
2.77,0.7,0.76,2.36,3.4,1,GdCoOAc_(OH2.5-3.5).csv
1.89,0.67,0.54,4.18,2.73,1,GdCoOAc_(OH2.5-3.5).csv
1.25,0.56,0.96,3.99,3.24,0,GdCoOAc_(OH2.5-3.5).csv
1.92,0.81,0.55,3.98,2.74,0,GdCoOAc_(OH2.5-3.5).csv
2.04,0.94,0.51,3.72,2.79,0,GdCoOAc_(OH2.5-3.5).csv
1.39,0.8,0.57,3.77,3.47,0,GdCoOAc_(OH2.5-3.5).csv
2.74,0.74,0.5,2.91,3.09,1,GdCoOAc_(OH2.5-3.5).csv
2.29,0.79,0.75,2.97,3.2,1,GdCoOAc_(OH2.5-3.5).csv
1.87,0.82,0.81,3.78,2.72,0,GdCoOAc_(OH2.5-3.5).csv
2.85,0.98,0.63,2.16,3.38,1,GdCoOAc_(OH2.5-3.5).csv
2.79,0.76,0.97,2.12,3.36,1,GdCoOAc_(OH2.5-3.5).csv
2.35,0.76,0.89,3.4,2.6,1,GdCoOAc_(OH2.5-3.5).csv
1.02,0.53,0.98,4.28,3.19,1,GdCoOAc_(OH2.5-3.5).csv
2.07,0.89,0.62,3.78,2.63,0,GdCoOAc_(OH2.5-3.5).csv
1.06,0.51,0.97,4.94,2.52,0,GdCoOAc_(OH2.5-3.5).csv
2.59,0.86,0.85,3.03,2.67,0,GdCoOAc_(OH2.5-3.5).csv
2.11,0.58,0.58,3.31,3.42,0,GdCoOAc_(OH2.5-3.5).csv
2.0,0.63,0.6,3.82,2.95,0,GdCoOAc_(OH2.5-3.5).csv
2.57,0.6,0.92,3.0,2.91,1,GdCoOAc_(OH2.5-3.5).csv
1.21,0.97,0.7,3.66,3.45,0,GdCoOAc_(OH2.5-3.5).csv
2.62,0.51,0.99,2.51,3.37,0,GdCoOAc_(OH2.5-3.5).csv
